"Clase","Marca","Tipo","Subtipo","Cilindrada","Tracción","Transmisión","Combustible","Año Modelo","País Origen","Otras Características","Precio FOB USD"
"AMBULANCIA","FORD","TRANSIT","250","3500","4X2","AT","GASOLINA","2023","MEXICO","EQUIPADA PARA TERAPIA INTENSIVA","94900"
"AUTOMOVIL","ACURA","INTEGRA","BASE","1500","4X2","AT","GASOLINA","2025","JAPÓN","TURBO, FWD","32400"
"AUTOMOVIL","ACURA","INTEGRA","S","2000","4X2","MT","GASOLINA","2026","JAPÓN","HATCHBACK; TURBO; FWD","52337"
"AUTOMOVIL","ACURA","INTEGRA","STANDARD","1500","4X2","AT","GASOLINA","2025","JAPÓN","TURBO, PAQUETE A-SPEC, FWD","34400"
"AUTOMOVIL","ACURA","INTEGRA","STANDARD","1500","4X2","AT","GASOLINA","2025","JAPÓN","TURBO, PAQUETE TECNOLOGICO, A-SPEC, FWD","37400"
"AUTOMOVIL","ACURA","INTEGRA","STANDARD","1500","4X2","AT","GASOLINA","2026","JAPÓN","HATCHBACK; TURBO; FWD","32832"
"AUTOMOVIL","ACURA","INTEGRA","STANDARD","1500","4X2","MT","GASOLINA","2025","JAPÓN","TURBO, PAQUETE TECNOLOGICO, A-SPEC, FWD","37400"
"AUTOMOVIL","ACURA","INTEGRA","A-SPEC","1500","4X2","AT","GASOLINA","2026","JAPÓN","HATCHBACK; TURBO; FWD","35429"
"AUTOMOVIL","ACURA","INTEGRA","A-SPEC","1500","4X2","AT","GASOLINA","2026","JAPÓN","HATCHBACK; TURBO; PAQUETE: TECNOLOGICO; FWD","38549"
"AUTOMOVIL","ACURA","INTEGRA","A-SPEC","1500","4X2","MT","GASOLINA","2026","JAPÓN","HATCHBACK; TURBO; PAQUETE: TECNOLOGICO; FWD","38569"
"AUTOMOVIL","ALFA ROMEO","GIULIA","TI","2000","4X2","AT","GASOLINA","2023","ITALIA","RWD","46320"
"AUTOMOVIL","ALFA ROMEO","GIULIA","TI","2000","4X4","AT","GASOLINA","2023","ITALIA","AWD","48320"
"AUTOMOVIL","ALFA ROMEO","GIULIA","ESTREMA","2000","4X2","AT","GASOLINA","2023","ITALIA","RWD","55420"
"AUTOMOVIL","ALFA ROMEO","GIULIA","ESTREMA","2000","4X4","AT","GASOLINA","2023","ITALIA","AWD","57420"
"AUTOMOVIL","ALFA ROMEO","GIULIA","SPRINT","2000","4X2","AT","GASOLINA","2023","ITALIA","RWD","44280"
"AUTOMOVIL","ALFA ROMEO","GIULIA","SPRINT","2000","4X4","AT","GASOLINA","2023","ITALIA","AWD","46280"
"AUTOMOVIL","ALFA ROMEO","GIULIA","VELOCE","2000","4X2","AT","GASOLINA","2023","ITALIA","RWD","49920"
"AUTOMOVIL","ALFA ROMEO","GIULIA","VELOCE","2000","4X4","AT","GASOLINA","2023","ITALIA","AWD","51920"
"AUTOMOVIL","ALIN","AL-JOY","EXPORT 7500","0","4X2","AT","ELECTRICO","2025","CHINA","POTENCIA: 7.5KW, VELOCIDAD MAXIMA: 80 KM/H, BATERIA: LITIO 72V/15A","7200"
"AUTOMOVIL","ALIN","AL-JOY","POWER 5000","0","4X2","AT","ELECTRICO","2025","CHINA","POTENCIA: 5KW, VELOCIDAD MAXIMA: 52 KM/H, BATERIA: LITIO 72V/15A","6400"
"AUTOMOVIL","ALIN","AL-JOY","SMART 4000","0","4X2","AT","ELECTRICO","2025","CHINA","POTENCIA: 4KW, VELOCIDAD MAXIMA: 42 KM/H, BATERIA: LITIO 72V/15A","5760"
"AUTOMOVIL","ASTON MARTIN","DBS","V12","5200","4X2","AT","GASOLINA","2023","REINO UNIDO","RWD","330600"
"AUTOMOVIL","ASTON MARTIN","DBS","VOLANTE V12","5200","4X2","AT","GASOLINA","2023","REINO UNIDO","RWD","349800"
"AUTOMOVIL","ASTON MARTIN","VANTAGE","STANDARD","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","V8, RWD","143900"
"AUTOMOVIL","ASTON MARTIN","VANTAGE","ROADSTER","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","V8, RWD","155100"
"AUTOMOVIL","ASTON MARTIN","VANTAGE","F1","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","RWD","168500"
"AUTOMOVIL","ASTON MARTIN","VANTAGE","F1 ROADSTER","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","RWD","179800"
"AUTOMOVIL","ASTON MARTIN","DB11","COUPE","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","V8, RWD","217000"
"AUTOMOVIL","ASTON MARTIN","DB11","VOLANTE","4000","4X2","AT","GASOLINA","2023","REINO UNIDO","V8, RWD","233200"
"AUTOMOVIL","AUDI","A4","40 PREMIUM","2000","4X4","AT","GASOLINA","2025","ALEMANIA","TURBO; HIBRIDO; BATERIA: 48 VOLTS; 4 PUERTAS; AWD","40715"
"AUTOMOVIL","AUDI","A4","40 PREMIUM PLUS","2000","4X4","AT","GASOLINA","2025","ALEMANIA","TURBO; HIBRIDO; BATERIA: 48 VOLTS; 4 PUERTAS; AWD","43564"
"AUTOMOVIL","AUDI","A4","40 PRESTIGE","2000","4X4","AT","GASOLINA","2025","ALEMANIA","TURBO; HIBRIDO; BATERIA: 48 VOLTS; 4 PUERTAS; AWD","45698"
"AUTOMOVIL","AUDI","A4","45 PREMIUM","2000","4X4","AT","GASOLINA","2025","ALEMANIA","TURBO; HIBRIDO; BATERIA: 48 VOLTS; 4 PUERTAS; AWD","41044"
